snapshot_id,scenario,attack_ratio,bucket_end_s,nodes,attackers,reachable_nodes,mean_pdr,mean_rank_delta
50n_30p_seed2_t00180,50n_30p_seed2,0.3,180,50,15,50,0.99,0.0
50n_30p_seed2_t00240,50n_30p_seed2,0.3,240,50,15,50,0.98,0.0
50n_30p_seed2_t00300,50n_30p_seed2,0.3,300,50,15,50,0.98,0.0
50n_30p_seed2_t00360,50n_30p_seed2,0.3,360,50,15,50,0.98,0.0
50n_30p_seed2_t00420,50n_30p_seed2,0.3,420,50,15,50,0.98,0.0
50n_30p_seed2_t00480,50n_30p_seed2,0.3,480,50,15,50,0.9733333333333333,0.0
50n_30p_seed2_t00540,50n_30p_seed2,0.3,540,50,15,50,0.9833333333333333,0.0
50n_30p_seed3_t00060,50n_30p_seed3,0.3,60,50,15,50,1.02,0.0
50n_30p_seed3_t00120,50n_30p_seed3,0.3,120,50,15,50,0.9633333333333333,0.0
50n_30p_seed3_t00180,50n_30p_seed3,0.3,180,50,15,50,0.98,0.0
50n_30p_seed3_t00240,50n_30p_seed3,0.3,240,50,15,50,0.99,0.0
50n_30p_seed3_t00300,50n_30p_seed3,0.3,300,50,15,50,0.9933333333333333,0.0
50n_30p_seed3_t00360,50n_30p_seed3,0.3,360,50,15,50,0.97,0.0
50n_30p_seed3_t00420,50n_30p_seed3,0.3,420,50,15,50,1.0,0.0
50n_30p_seed3_t00480,50n_30p_seed3,0.3,480,50,15,50,0.98,0.0
50n_30p_seed3_t00540,50n_30p_seed3,0.3,540,50,15,50,1.03,0.0
50n_30p_seed4_t00060,50n_30p_seed4,0.3,60,50,15,50,0.96,0.0
50n_30p_seed4_t00120,50n_30p_seed4,0.3,120,50,15,50,0.99,0.0
50n_30p_seed4_t00180,50n_30p_seed4,0.3,180,50,15,50,1.0233333333333332,0.0
50n_30p_seed4_t00240,50n_30p_seed4,0.3,240,50,15,50,0.97,0.0
50n_30p_seed4_t00300,50n_30p_seed4,0.3,300,50,15,50,0.9933333333333333,0.0
50n_30p_seed4_t00360,50n_30p_seed4,0.3,360,50,15,50,0.99,0.0
50n_30p_seed4_t00420,50n_30p_seed4,0.3,420,50,15,50,0.97,0.0
50n_30p_seed4_t00480,50n_30p_seed4,0.3,480,50,15,50,1.0,0.0
50n_30p_seed4_t00540,50n_30p_seed4,0.3,540,50,15,50,0.97,0.0
50n_30p_seed5_t00060,50n_30p_seed5,0.3,60,50,15,50,0.96,0.0
50n_30p_seed5_t00120,50n_30p_seed5,0.3,120,50,15,50,0.99,0.0
50n_30p_seed5_t00180,50n_30p_seed5,0.3,180,50,15,50,0.9933333333333333,0.0
50n_30p_seed5_t00240,50n_30p_seed5,0.3,240,50,15,50,0.9833333333333333,0.0
50n_30p_seed5_t00300,50n_30p_seed5,0.3,300,50,15,50,0.97,0.0
50n_30p_seed5_t00360,50n_30p_seed5,0.3,360,50,15,50,0.98,0.0
50n_30p_seed5_t00420,50n_30p_seed5,0.3,420,50,15,50,0.98,0.0
50n_30p_seed5_t00480,50n_30p_seed5,0.3,480,50,15,50,0.99,0.0
50n_30p_seed5_t00540,50n_30p_seed5,0.3,540,50,15,50,0.97,0.0
